Code,Title,Theme,SubTheme,Description,Keywords
1629,"Heavy Construction, Not Elsewhere Classified","General and special trade contractors primarily engaged in the construction of heavy projects, not elsewhere classified.","Athletic field construction-general contractors Blasting, except building demolition-contractors Breakwater construction-general contractors Bridle path construction-general contractors Brush clearing or cutting-contractors Caisson drilling-contractors Canal construction-general contractors Central station construction-general contractors Channel construction-general contractors Channel cutoff construction-general contractors Chemical complex or facilities construction-general contractors Clearing of land-general contractors Cofferdam construction-general contractors Coke oven construction-general contractors Cutting right-of-way-general contractors Dam construction-general contractors Dike construction-general contractors Discharging station construction, mine-general contractors Dock construction-general contractors Drainage project construction-general contractors Dredging-general contractors Earth moving, not connected with building construction-general Flood control project construction-general contractors Furnace construction for industrial plants-general contractors Golf course construction-general contractors Harbor construction-general contractors Hydroelectric plant construction-general contractors Industrial incinerator construction-general contractors Industrial plant appurtenance construction-general contractors Irrigation projects construction-general contractors Jetty construction-general contractors Kiln construction-general contractors Land clearing-contractors Land drainage-contractors Land leveling (irrigation)-contractors Land reclamation-contractors Levee construction-general contractors Light and power plant construction-general contractors Loading station construction, mine-general contractors Lock and waterway construction-general contractors Marine construction-general contractors Mine loading and discharging station construction-general contractors Mining appurtenance construction-general contractors Missile facilities construction-general contractors Nuclear reactor containment structure construction-general contractors Oil refinery construction-general contractors Oven construction for industrial plants-general contractors Oven construction, bakers'-general contractors Petrochemical plant construction-general contractors Petroleum refinery construction-general contractors Pier construction-general contractors Pile driving-contractors Pond construction-general contractors Power plant construction-general contractors Railroad construction-general contractors Railway roadbed construction-general contractors Reclamation projects construction-general contractors Reservoir construction-general contractors Revetment construction-general contractors Rock removal, underwater-contractors Sewage treatment plant construction-general contractors Ski tow erection-general contractors Soil compacting service-contractors Submarine rock removal-general contractors Subway construction-general contractors Tennis court construction, outdoor-general contractors Timber removal, underwater-contractors Tipple construction-general contractors Trail building-general contractors Trailer camp construction-general contractors Trenching-contractors Washeries construction, mining-general contractors Waste disposal plant construction-general contractors Water power project construction-general contractors Water treatment plant construction-general contractors Waterway construction-general contractors Wharf construction-general contractors ",Construction,Heavy Construction
1711,"Plumbing, Heating and Air-Conditioning","Special trade contractors primarily engaged in plumbing, heating, air-conditioning, and similar work.","Air system balancing and testing-contractors Air-conditioning, with or without sheet metal work-contractors Boiler erection and installation-contractors Drainage system installation, cesspool and septic tank-contractors Dry well construction, cesspool-contractors Fuel oil burner installation and servicing-contractors Furnace repair-contractors Gas line hookup-contractors Heating equipment installation-contractors Heating, with or without sheet metal work-contractors Lawn sprinkler system installation-contractors Mechanical contractors Piping, plumbing-contractors Plumbing and heating-contractors Plumbing repair-contractors Plumbing, with or without sheet metal work-contractors Refrigeration and freezer work-contractors Sewer hookups and connections for buildings-contractors Sheet metal work combined with heating or Solar heating apparatus-contractors Sprinkler system installation-contractors Steam fitting-contractors Sump pump installation and servicing-contractors Ventilating work, with or without sheet metal work-contractors Water pump installation and servicing-contractors Water system balancing and testing-contractors ",Construction,Special Trade Contractors
1721,Painting and Paper Hanging,Special trade contractors primarily engaged in painting and paper hanging.,"Bridge painting-contractors Electrostatic painting on site (including of lockers and fixtures)- House painting-contractors Painting of buildings and other structures, except roofs-contractors Paper hanging-contractors Ship painting-contractors Traffic lane painting-contractors Whitewashing-contractors ",Construction,Special Trade Contractors
1731,Electrical Work,Special trade contractors primarily engaged in electrical work at the site.,"Burglar alarm installation-contractors Cable splicing, electrical-contractors Cable television hookup-contractors Communications equipment installation-contractors Electrical repair at site of construction-contractors Electrical work-contractors Electronic control system installation-contractors Fire alarm installation-contractors Highway lighting and electrical signal construction-contractors Intercommunications equipment installation-contractors Sound equipment installation-contractors Telecommunications equipment installation-contractors Telephone and telephone equipment installation-contractors ",Construction,Special Trade Contractors
1742,"Plastering, Drywall, Acoustical, and Insulation Work","Special trade contractors primarily engaged in applying plain or ornamental plaster, including the installation of lathing and other appurtenances to receive plaster, or in drywall, acoustical, and building insulation work.","Acoustical work-contractors Ceilings, acoustical installation-contractors Drywall construction-contractors Insulation installation, buildings-contractors Lathing-contractors Plastering, plain or ornamental-contractors Solar reflecting insulation film-contractors Taping and finishing drywall-contractors ",Construction,Special Trade Contractors
1751,Carpentry Work,Special trade contractors primarily engaged in carpentry work.,"Cabinet work performed at the construction site Carpentry work-contractors Folding door installation-contractors Framing-contractors Garage door installation-contractors Joinery, ship-contractors Ship joinery-contractors Store fixture installation-contractors Trim and finish-contractors Window and door (prefabricated) installation-contractors ",Construction,Special Trade Contractors
1761,"Roofing, Siding, and Sheet Metal Work","Special trade contractors primarily engaged in the installation of roofing, siding, and sheet metal work.","Architectural sheet metal work-contractors Ceilings, metal: erection and repair-contractors Coppersmithing, in connection with construction work-contractors Downspout installation, metal-contractors Duct work, sheet metal-contractors Gutter installation, metal-contractors Roof spraying, painting, or coating-contractors Roofing work, including repairing-contractors Sheet metal work: except plumbing, heating, or Siding-contractors Skylight installation-contractors Tinsmithing, in connection with construction work-contractors ",Construction,Special Trade Contractors
1799,"Special Trade Contractors, Not Elsewhere Classified","Special trade contractors primarily engaged in construction work, not elsewhere classified, such as construction of swimming pools and fences, erection and installation of ornamental metal work, house moving, shoring work, waterproofing, dampproofing, fireproofing, sandblasting, and steam cleaning of building exteriors.","Antenna installation, except household type-contractors Artificial turf installation-contractors Awning installation-contractors Bath tub refinishing-contractors Boring for building construction-contractors Bowling alley installation and service-contractors Cable splicing service, nonelectrical-contractors Caulking (construction)-contractors Cleaning building exteriors-contractors Cleaning new buildings after construction-contractors Coating of concrete structures with plastics-contractors Core drilling for building construction-contractors Counter top installation-contractors Dampproofing buildings-contractors Dewatering-contractors Diamond drilling for building construction-contractors Epoxy application-contractors Erection and dismantling of forms for poured concrete-contractors Fence construction-contractors Fire escape installation-contractors Fireproofing buildings-contractors Forms for poured concrete, erection and dismantling-contractors Gas leakage detection-contractors Gasoline pump installation-contractors Glazing of concrete surfaces-contractors Grave excavation-contractors House moving-contractors Insulation of pipes and boilers-contractors Lead burning-contractors Lightning conductor erection-contractors Mobile home site setup and tie down-contractors Ornamental metalwork-contractors Paint and wallpaper stripping-contractors Plastics wall tile installation-contractors Posthole digging-contractors Sandblasting of building exteriors-contractors Scaffolding construction-contractors Service and repair of broadcasting stations-contractors Service station equipment installation, maintenance, and repair- Shoring and underpinning work-contractors Spectator seating installation-contractors Steam cleaning of building exteriors-contractors Steeplejacks Swimming pool construction-contractors Television and radio stations, service and repair of-contractors Test boring for construction-contractors Tile installation, wall: plastics-contractors Tinting glass-contractors Wallpaper removal-contractors Waterproofing-contractors Weather stripping-contractors Welding contractors, operating at site of construction Window shade installation-contractors ",Construction,Special Trade Contractors
2434,Wood Kitchen Cabinets,"Establishments primarily engaged in manufacturing wood kitchen cabinets and wood bathroom vanities, generally for permanent installation.","Cabinets, wood: to be installed Kitchen cabinets, wood: to be installed Vanities, bathroom, wood: to be installed ",Construction,Furniture and Wood Products
2452,Prefabricated Wood Buildings and Components,"Establishments primarily engaged in manufacturing prefabricated wood buildings, sections, and panels.","Buildings, prefabricated and portable: wood Chicken coops, prefabricated: wood Corn cribs, prefabricated: wood Farm buildings, prefabricated or portable: wood Floors, prefabricated: wood Geodesic domes, prefabricated: wood Houses, portable: prefabricated wood-except mobile homes Log cabins, prefabricated: wood Marinas, prefabricated: wood Panels for prefabricated wood buildings Sauna rooms, prefabricated: wood Sections for prefabricated wood buildings ",Construction,Furniture and Wood Products
2521,Wood Office Furniture,"Establishments primarily engaged in manufacturing office furniture, chiefly of wood.","Benches, office: wood Bookcases, office: wood Cabinets, office: wood Chairs, office: wood Desks, office: wood Filing boxes, cabinets, and cases: wood Furniture, office: wood Modular furniture systems, office, wood Panel furniture systems, office, wood Partitions, office: not for floor attachment-wood Stools, office: wood Tables, office: wood ",Construction,Furniture and Wood Products
2531,Public Building and Related Furniture,"Establishments primarily engaged in manufacturing furniture for schools, theaters, assembly halls, churches, and libraries.","Benches for public buildings Blackboards, wood Bleacher seating, portable Chairs, portable folding Church furniture, except stone or concrete Furniture: church, library, school, theater, and other public buildings Pews, church School furniture, except stone and concrete Seats: automobile, vans, aircraft, railroad, and other public Stadium seating ",Construction,Furniture and Wood Products
3211,Flat Glass,Establishments primarily engaged in manufacturing flat glass.,"Building glass, flat Cathedral glass Float glass Glass, colored: cathedral and antique Glass, flat Insulating glass, sealed units-mitse Laminated glass, made from glass produced in the same establishment Multiple-glazed insulating units-mitse Opalescent flat glass Ophthalmic glass, flat Optical glass, flat Picture glass Plate glass blanks for optical or ophthalmic uses Plate glass, polished and rough Sheet glass Sheet glass blanks for optical or ophthalmic uses Skylight glass Spectacle glass Structural glass, flat Tempered glass-mitse Window glass, clear and colored ",Construction,Construction Materials
3273,Ready-Mixed Concrete,Establishments primarily engaged in manufacturing portland cement concrete manufactured and delivered to a purchaser in a plastic and unhardened state.,"Central-mixed concrete Ready-mixed concrete, production and distribution Shrink-mixed concrete Truck-mixed concrete ",Construction,Construction Materials
3296,Mineral Wool,"Establishments primarily engaged in manufacturing mineral wool and mineral wool insulation products made of such siliceous materials as rock, slag, and glass, or combinations thereof.","Acoustical board and tile, mineral wool Fiberglass insulation Glass wool Insulation: rock wool, fiberglass, slag, and silica minerals Mineral wool roofing mats ",Construction,Construction Materials
3316,"Cold-Rolled Steel Sheet, Strip, and Bars",Establishments primarily engaged in: (1) cold-rolling steel sheets and strip from purchased hot-rolled sheets; (2) cold-drawing steel bars and steel shapes from purchased hot-rolled steel bars; and (3) producing other cold finished steel.,"Cold-finished steel bars: not made in hot-rolling mills Cold-rolled steel strip, sheet, and bars: not made in hot-rolling mills Corrugating iron and steel, cold-rolled: not made in hot-rolling mills Flat bright steel strip, cold-rolled: not made in hot-rolling mills Razor blade strip steel, cold-rolled: not made in hot-rolling mills Sheet steel, cold-rolled: not made in hot-rolling mills Wire, flat: cold-rolled strip: not made in hot-rolling mills ",Construction,Construction Materials
3449,Miscellaneous Structural Metal Work,"Establishments primarily engaged in manufacturing miscellaneous structural metal work, such as metal plaster bases, fabricated bar joists, and concrete reinforcing bars.","Bars, concrete reinforcing: fabricated steel Curtain wall, metal Custom roll formed products, metal Joists, fabricated bar Landing mats, aircraft: metal Lath, expanded metal Plastering accessories, metal ",Construction,Construction Materials
3534,Elevators and Moving Stairways,"Establishments primarily engaged in manufacturing passenger or freight elevators, automobile lifts, dumbwaiters, and moving stairways.","Automobile lifts (elevators) Dumbwaiters Elevator fronts Elevators and elevator equipment, passenger and freight Elevators, powered: nonfarm Escalators, passenger and freight Lifts (elevators), passenger and freight Stair elevators: motor powered Stairways, moving Walkways, moving ",Construction,Heavy Construction
2711,Newspapers,"Establishments primarily engaged in publishing newspapers, or in publishing and printing newspapers.","Commercial printing and newspaper publishing combined Job printing and newspaper publishing combined Newspaper branch offices, editorial and advertising Newspapers: publishing and printing, or publishing only ",Creative Industries,Print Publishing
2721,Periodicals,"Establishments primarily engaged in publishing periodicals, or in publishing and printing periodicals.","Comic books: publishing and printing, or publishing only Magazines: publishing and printing, or publishing only Periodicals: publishing and printing, or publishing only Statistical reports (periodicals), publishing and printing, or publishing Television schedules: publishing and printing, or publishing only Trade journals, publishing and printing, or publishing only ",Creative Industries,Print Publishing
4832,Radio Broadcasting Stations,Establishments primarily engaged in broadcasting aural programs by radio to the public.,Radio broadcasting stations ,Creative Industries,Radio and TV Broadcasting Stations
4833,Television Broadcasting Stations,"Establishments primarily engaged in broadcasting visual programs by television to the public, except cable and other pay television services.",Television broadcasting stations ,Creative Industries,Radio and TV Broadcasting Stations
7313,"Radio, Television, and Publishers' Advertising Representatives","Establishments primarily engaged in soliciting advertising on a contract or fee basis for newspapers, magazines, and other publications, or for radio and television stations.","Newspaper advertising representatives, not auxiliary to publishing Radio representatives, advertising: not auxiliary to radio broadcasting Television and radio time, sale of: not auxiliary to television or radio ",Creative Industries,Radio and TV Broadcasting Stations
7812,Motion Picture and Video Tape Production,"Establishments primarily engaged in the production of theatrical and nontheatrical motion pictures and video tapes for exhibition or sale, including educational, industrial, and religious films.","Audiovisual motion picture program production Cartoon motion picture production Commercials, television: tape or film production Educational motion picture production Industrial motion picture production Motion picture production and distribution Music video production Nontheatrical motion picture production Religious motion picture production Tape production, video or motion picture Television film production Training motion picture production Video tape production ",Creative Industries,Motion Picture and Theatrical Services
7819,Services Allied to Motion Picture Production,"Establishments primarily engaged in performing services independent of motion picture production, but allied thereto, such as motion picture film processing, editing, and titling; casting bureaus; wardrobe and studio property rental; television tape services; motion picture and video tape reproduction; and stock footage film libraries.","Casting bureaus, motion picture Developing and printing of commercial motion picture film Directors, motion picture: independent Editing of motion picture film Film libraries, stock footage Film processing, motion picture Laboratories, motion picture Motion picture consultants Motion picture reproduction Rental of motion picture equipment Studio property rental for motion picture film production Television tape services (e.g., editing and transfers) Titling of motion picture film Video tape or disk reproduction Wardrobe rental for motion picture film production ",Creative Industries,Motion Picture and Theatrical Services
7922,Theatrical Producers (Except Motion Picture) and Miscellaneous Theatrical Services,"Establishments primarily engaged in providing live theatrical presentations, such as road companies and summer theaters.","Agents or managers for entertainers Agents, talent: theatrical Ballet production Booking agencies, theatrical: except motion picture Burlesque companies Casting agencies, theatrical: except motion picture Community theater productions Concert management service Costume design, theatrical Employment agencies: theatrical, radio, and television-except motion Legitimate theater producers Opera companies Performing arts center productions Plays (road companies and stock companies) Radio programs, including commercials: producers of Rental of theatrical scenery Repertory or stock companies, theatrical Road companies, theatrical Scenery design, theatrical Stock companies, theatrical Summer theaters, except dinner theaters Television programs (including commercials): live Theatrical companies Theatrical equipment rental Theatrical lighting on a contract basis Theatrical production, except motion picture Theatrical ticket agencies Vaudeville companies ",Creative Industries,Motion Picture and Theatrical Services
8221,"Colleges, Universities, and Professional Schools","Colleges, universities, and professional schools furnishing academic courses and granting academic degrees.",Colleges except junior Professional schools: eg dental engineering law medical Seminaries theological Service academies (college) Theological seminaries Universities ,Educational Services,Higher Education
8222,Junior Colleges and Technical Institutes,"Junior colleges and technical institutes furnishing academic, or academic and technical, courses and granting associate academic degrees, certificates, or diplomas.",Community colleges (junior) Junior colleges Technical institutes ,Educational Services,Higher Education
8249,"Vocational Schools, Not Elsewhere Classified","Establishments primarily engaged in offering specialized vocational courses, not elsewhere classified.","Aviation schools, excluding flying instruction Banking schools (training in banking) Commercial art schools Construction equipment operation schools Correspondence schools, including branch offices and solicitors Nursing schools, practical Real estate schools Restaurant operation schools Trade schools Truck driving schools Vocational apprenticeship training Vocational schools: except high schools, data processing, or business ",Educational Services,Higher Education
8299,"Schools and Educational Services, Not Elsewhere Classified","Establishments primarily engaged in offering educational courses and services, not elsewhere classified.","Art schools, except commercial Automobile driving instruction Baton instruction Bible schools, not operated by churches Ceramics schools Charm schools Civil service schools Continuing education programs Cooking schools Curriculum development, educational Diction schools Drama schools Finishing schools, charm and modeling Flying instruction Hypnosis schools Language schools Modeling schools, clothes Music schools Personal development schools Public speaking schools Reading schools Speed reading courses Student exchange programs Survival schools Tutoring Vocational counseling, except rehabilitation counseling ",Educational Services,Higher Education
6324,Hospital and Medical Service Plans,"Establishments primarily engaged in providing hospital, medical, and other health services to subscribers or members in accordance with prearranged agreements or service plans.",Dental insurance (providing services by contracts with health Group hospitalization plans Hospital and medical service plans Medical service plans ,Health Services,Health and Allied Services
8021,Offices and Clinics of Dentists,Establishments of licensed practitioners having the degree of D.M.D.,"Clinics of dentists Dental surgeons, offices of Dentists, offices and clinics of Endodontists, offices of Oral pathologists, offices of Orthodontists, offices of Pathologists, oral: offices of Periodontists, offices of Prosthodontists, offices of ",Health Services,Offices and Clinics of Health Practitioners
8049,"Offices and Clinics of Health Practitioners, Not Elsewhere Classified","Establishments of health practitioners engaged in the practice of health fields, not elsewhere classified.","Acupuncturists, except M.D.: offices of Audiologists, offices of Christian science practitioners, offices of Dental hygienists, offices of Dieticians, offices of Hypnotists, offices of Inhalation therapists, registered Midwives, offices of Naturopaths, offices of Nurses, registered and practical: offices of, except home health Nutritionists, offices of Occupational therapists, offices of Paramedics, offices of Physical therapists, offices of Physicians'assistants, offices of Psychiatric social workers, offices of Psychologists, clinical offices of Psychotherapists, except M.D.: offices of Speech clinicians, offices of Speech pathologists, offices of ",Health Services,Offices and Clinics of Health Practitioners
8062,General Medical and Surgical Hospitals,Establishments primarily engaged in providing general medical and surgical services and other hospital services.,General medical and surgical hospitals ,Health Services,Hospitals
8069,"Specialty Hospitals, Except Psychiatric","Establishments primarily engaged in providing diagnostic services, treatment, and other hospital services for specialized categories of patients, except mental.","Alcoholism rehabilitation hospitals Cancer hospitals Children's hospitals Chronic disease hospitals Drug addiction rehabilitation hospitals Eye, ear, nose, and throat hospitals: in-patient Hospitals, specialty: except psychiatric Maternity hospitals Orthopedic hospitals Rehabilitation hospitals: drug addiction and alcoholism Tuberculosis and other respiratory illness hospitals ",Health Services,Hospitals
8071,Medical Laboratories,"Establishments primarily engaged in providing professional analytic or diagnostic services to the medical profession, or to the patient on prescription of a physician.","Bacteriological laboratories (not manufacturing) Biological laboratories (not manufacturing) Blood analysis laboratories Chemists, biological: (not manufacturing) laboratories of Dental laboratories, X-ray Medical laboratories, clinical Pathological laboratories Testing laboratories, medical: analytic or diagnostic Urinalysis laboratories ",Health Services,Health and Allied Services
8082,Home Health Care Services,"Establishments primarily engaged in providing skilled nursing or medical care in the home, under supervision of a physician.",Home health care services Visiting nurse associations ,Health Services,Health and Allied Services
8093,"Specialty Outpatient Facilities, Not Elsewhere Classified","Establishments primarily engaged in outpatient care of a specialized nature with permanent facilities and with medical staff to provide diagnosis, treatment, or both for patients who are ambulatory and do not require inpatient care.","Alcohol treatment, outpatient clinics Biofeedback centers Birth control clinics (family planning) Drug treatment, outpatient clinics Outpatient detoxification centers Outpatient mental health clinics Outpatient treatment clinics for alcoholism and drug addiction Rehabilitation centers, outpatient (medical treatment) Respiratory therapy clinics ",Health Services,Offices and Clinics of Health Practitioners
8099,"Health and Allied Services, Not Elsewhere Classified","Establishments primarily engaged in providing health and allied services, not elsewhere classified.","Artists, medical Blood banks Blood donor stations Childbirth preparation classes Health screening service Hearing testing service Insurance physical examination service, except by physicians Medical photography and art Osteoporosis centers Oxygen tent service Physical examination service, except by physicians Plasmapheresis Centers Sperm banks ",Health Services,Health and Allied Services
4489,"Water Transportation of Passengers, Not Elsewhere Classified","Establishments primarily engaged in furnishing water transportation of passengers, not elsewhere classified.","Airboats (swamp buggy rides) Excursion boat operations Passenger water transportation on rivers and canals Sight-seeing boats Water taxis, operation of ",Tourism,Travel Agencies and Transportation Services
4724,Travel Agencies,"Establishments primarily engaged in furnishing travel information and acting as agents in arranging tours, transportation, rental of cars, and lodging for travelers.","Tourist agencies for the arrangement of transportation, lodging, and Travel agencies ",Tourism,Travel Agencies and Transportation Services
4725,Tour Operators,Establishments primarily engaged in arranging and assembling tours for sale through travel agents.,"Tour operation (travel) Tours, except sight-seeing buses, boats, and airplanes Wholesale tour operator ",Tourism,Travel Agencies and Transportation Services
4729,"Arrangement of Passenger Transportation, Not Elsewhere Classified","Establishments primarily engaged in arranging passenger transportation, not elsewhere classified, such as ticket offices, not operated by transportation companies, for railroads, buses, ships, and airlines.","Airline ticket offices, not operated by transportation companies Arrangement of carpools and vanpools Bus ticket offices, not operated by transportation companies Railroad ticket offices, not operated by transportation companies Steamship ticket offices, not operated by transportation companies ",Tourism,Travel Agencies and Transportation Services
7011,Hotels and Motels,"Commercial establishments, known to the public as hotels, motor hotels, motels, or tourist courts, primarily engaged in providing lodging, or lodging and meals, for the general public.","Auto courts Bed and breakfast inns Cabins and cottages Casino hotels Hostels Hotels, except residential Inns, furnishing food and lodging Motels Recreational hotels Resort hotels Seasonal hotels Ski lodges and resorts Tourist cabins Tourist courts ",Tourism,Lodging Services
7021,Rooming and Boarding Houses,"Establishments primarily engaged in renting rooms, with or without board, on a fee basis.","Boarding houses, except organization Dormitories, commercially operated Lodging houses, except organization Rental of furnished rooms Rooming houses, except organization ",Tourism,Lodging Services
7032,Sporting and Recreational Camps,"Establishments primarily engaged in operating sporting and recreational camps, such as boys'and girls'camps, and fishing and hunting camps.","Boys'camps Camps, sporting and recreational Dude ranches Fishing camps Girls'camps Hunting camps Nudist camps Summer camps, except day and sports instructional ",Tourism,Recreational Services
7041,"Organization Hotels and Lodging Houses, on Membership Basis","Lodging houses and hotels operated by membership organizations for the benefit of their constituents, and not open to the general public.","Boarding houses operated by organizations for members only Boarding houses, fraternity and sorority Fraternity residential houses Hotels operated by organizations for members only Lodging houses operated by organizations for members only Residence clubs operated by organizations for members only Rooming houses operated by organizations for members only Rooming houses, fraternity and sorority Sorority residential houses ",Tourism,Lodging Services
7514,Passenger Car Rental,Establishments primarily engaged in short-term rental of passenger cars without drivers.,"Automobile rental, without drivers Hearse rental, without drivers Limousine rental, without drivers Passenger car rental, without drivers ",Tourism,Travel Agencies and Transportation Services
7996,Amusement Parks,"Establishments of the type known as amusement parks and kiddie parks which group together and operate in whole or in part a number of attractions, such as mechanical rides, amusement devices, refreshment stands, and picnic grounds.","Amusement centers and parks (not fairs, circuses, or carnivals) Amusement parks Kiddie parks Piers, amusement Theme parks, amusement ",Tourism,Recreational Services
7999,"Amusement and Recreation Services, Not Elsewhere Classified","Establishments primarily engaged in the operation of sports, amusement, and recreation services, not elsewhere classified, such as bathing beaches, swimming pools, riding academies and schools, carnival operation, exposition operation, horse shows, picnic grounds operation, rental of rowboats and canoes, and shooting galleries.","Aerial tramways, amusement or scenic Amusement concessions Amusement rides Animal shows in circuses, fairs, and carnivals Archery ranges, operation of Astrologers Baseball instruction schools Basketball instruction schools Bath houses, independently operated Bathing beaches, public Betting information services Billiard parlors Bingo parlors Boat rental, pleasure Boats, party fishing: operation of Bookies Bookmakers, race Bowling instruction Bridge club, nonmembership Bridge instruction Cable lifts, amusement or scenic: operated separately from lodges Canoe rental Card rooms Carnival operation Cave operation Circus companies Concession operators, amusement devices and rides Day camps Exhibition operation Exposition operation Fairs, agricultural: operation of Fireworks display service Fishing piers ant lakes, operation of Fortune tellers Gambling establishments not primarily operating coin-operated Gambling machines, except coin-operated operation of Game parlors, except coin-operated Games, teaching of Gocart raceway operation Gocart rentals Golf courses, miniature operation of Golf driving ranges Golf professionals not operating retail stores Golf, pitch-n-putt Gymnastics instruction Handball courts, except membership club Horse shows Houseboat rentals Hunting guides Ice skating rink operation Judo instruction Karate instruction Lifeguard service Lotteries, operation of Lottery club and ticket sales to individuals Moped rental Motorcycle rental Natural wonders, tourist attraction: commercial Observation tower operation Off-track betting Pack trains for amusement Parachute training for pleasure Phrenologists Picnic grounds operation Ping pong parlors Pool parlors Racquetball courts, except membership clubs Rental of beach chairs and accessories Rental of bicycles Rental of golf carts Rental of rowboats and canoes Rental of saddle horses Riding academies and schools Riding stables River rafting, operation of Rodeo animal rental Rodeos, operation of Roller skating rink operation Scenic railroads for amusement Schools and camps, sports instructional Scuba and skin diving instruction Shooting galleries Shooting ranges, operation of Skating instruction, ice or roller Skeet shooting facilities, except membership clubs Ski instruction Ski lifts, cable lifts, and ski tows operated separately from lodges Ski rental concessions Slot-car racetracks Sporting goods rental Sports instructors, professional: golf, skiing, swimming, etc. Sports professionals Swimming instruction Swimming pools, except membership Tennis clubs, nonmembership Tennis courts, outdoor and indoor operation of, nonmembership Tennis professionals Ticket sales offices for sporting events, contract Tourist attractions, natural wonder commercial Tourist guides Trampoline operation Trapshooting facilities, except membership club Waterslides, operation of Wave pools, operation of Wax figure exhibitions Yoga instruction ",Tourism,Recreational Services
8412,Museums and Art Galleries,Establishments primarily engaged in the operation of museums and art galleries.,"Art galleries, not primarily selling Museums Planetaria ",Tourism,Recreational Services
8422,Arboreta and Botanical or Zoological Gardens,Establishments primarily engaged in the operation of arboreta and of botanical or zoological gardens and exhibits.,Animal exhibits Aquariums Arboreta Botanical gardens Reptile exhibits Zoological gardens ,Tourism,Recreational Services
3715,Truck Trailers,"Establishments primarily engaged in manufacturing truck trailers, truck trailer chassis for sale separately, detachable trailer bodies (cargo containers) for sale separately, and detachable trailer (cargo container) chassis, for sale separately.","Bus trailers, tractor type Demountable cargo containers Motor truck trailers Semitrailers for missile transportation Semitrailers for truck tractors Trailers, fifth-wheel type: for transporting horses Truck trailers ",Transport,Land Transportation
4213,"Trucking, Except Local","Establishments primarily engaged in furnishing ""over-the-road"" trucking services or trucking services and storage services, including household goods either as common carriers or under special or individual contracts or agreements, for freight generally weighing more than 100 pounds.","Long-distance trucking Over-the-road trucking Trucking rental with drivers, except for local use Trucking, except local ",Transport,Land Transportation
4215,"Courier Services, Except by Air","Establishments primarily engaged in the delivery of individually addressed letters, parcels, and packages (generally under 100 pounds), except by means of air transportation or by the United States Postal Service.","Courier services, except by air Letter delivery, private: except air Mail delivery, private: except air Package delivery, private: except air Parcel delivery, private: except air ",Transport,Land Transportation
4222,Refrigerated Warehousing and Storage,Establishments primarily engaged in the warehousing and storage of perishable goods under refrigeration.,"Cheese warehouses Cold storage locker rental Food lockers, rental Frozen food locker rental Storage, frozen or refrigerated goods Warehousing, cold storage or refrigerated ",Transport,Warehousing Serivices
4491,Marine Cargo Handling,"Establishments primarily engaged in activities directly related to marine cargo handling from the time cargo, for or from a vessel, arrives at shipside, dock, pier, terminal, staging area, or in-transit area until cargo loading or unloading operations are completed.","Docks, including buildings and facilities: operation and maintenance Loading vessels Marine cargo handling Piers, including buildings and facilities: operation and maintenance Ship hold cleaning Stevedoring Unloading vessels Waterfront terminal operation ",Transport,Water  Transportation
4499,"Water Transportation Services, Not Elsewhere Classified","Establishments primarily engaged in furnishing miscellaneous services incidental to water transportation, not elsewhere classified, such as lighterage, boat hiring, except for pleasure; chartering of vessels; canal operation; ship cleaning, except hold cleaning; and steamship leasing.","Boat cleaning Boat hiring, except pleasure Boat livery, except pleasure Boat rental, commercial Canal operation Cargo salvaging, from distressed vessels Chartering of commercial boats Dismantling ships Lighterage Marine railways for drydocking, operation of Marine salvaging Marine surveyors, except cargo Marine wrecking: ships for scrap Piloting vessels in and out of harbors Ship cleaning, except hold cleaning Ship registers: survey and classification of ships and marine Steamship leasing ",Transport,Water  Transportation
4522,"Air Transportation, Nonscheduled",Establishments primarily engaged in furnishing nonscheduled air transportation.,"Air cargo carriers, nonscheduled Air passenger carriers, nonscheduled Air taxi services Ambulance services, air Flying charter services Helicopter carriers ",Transport,Air Transportation
4581,"Airports, Flying Fields, and Airport Terminal Services","Establishments primarily engaged in operating and maintaining airports and flying fields; in servicing, repairing (except on a factory basis), maintaining, and storing aircraft; and in furnishing coordinated handling services for airfreight or passengers at airports.","Air traffic control, except government Aircraft cleaning and janitorial service Aircraft servicing and repairing, except on a factory basis Aircraft storage at airports Aircraft upholstery repair Airfreight handling at airports Airport hangar rental Airport leasing, if operating airport Airport terminal services Airports Flying fields, except those maintained by aviation clubs Hangar operation ",Transport,Air Transportation
4741,Rental of Railroad Cars,"Establishments primarily engaged in renting railroad cars, whether or not also performing services connected with the use thereof, or in performing services connected with the rental of railroad cars.","Grain leveling in railroad cars Grain trimming service for railroad shipment Precooling of fruits and vegetables in connection with transportation Railroad car cleaning, icing, ventilating, and heating Rental of railroad cars ",Transport,Land Transportation
4783,Packing and Crating,"Establishments primarily engaged in packing, crating, and otherwise preparing goods for shipping.",Crating goods for shipping Packing goods for shipping Transportation ,Transport,Warehousing Serivices
